id,text,screen_name,created_at,retweet_count,favorite_count,friends_count,followers_count,lang,country
1247274399301955586,Ante la emergencia sanitaria en #Oaxaca por el #Coronavirus nos pusimos a la altura de las circunstancias y aprobam… https://t.co/YNhVcxMfbi,ferdavilamx,Mon Apr 06 21:26:04 +0000 2020,0,0,369,348,es,México
1247274429819899904,Thank you to all frontline healthcare workers for the sacrifices you are making to care for people impacted by #COVID19.,TonyVargas,Mon Apr 06 21:26:11 +0000 2020,0,0,3639,3890,en,United States
1247274454889234433,This is great! Thanks to the team that put all this together. Please retweet #London massive. #coronavirus #COVID19… https://t.co/QE3pqgwDjZ,Miss_Toppin,Mon Apr 06 21:26:17 +0000 2020,0,0,1907,1133,en,United Kingdom
1247274479107084288,El amor en los tiempos del coronavirus .,EnzoPortel,Mon Apr 06 21:26:23 +0000 2020,0,0,463,215,es,Argentina
1247274520752394247,El coronavirus se lleva por delante el Día de las Fuerzas Armadas previsto para el 30 de mayo https://t.co/tk9wolGt9g,JuanHCD,Mon Apr 06 21:26:33 +0000 2020,0,0,190,90,es,España
1247274655095930880,.@MinSaludCol confirma 94 nuevos casos de COVID-19.   En total van 1.579 en toda Colombia (46 decesos y 88 recupera… https://t.co/OZfFyM8jyD,DatoLeopardo,Mon Apr 06 21:27:05 +0000 2020,0,0,230,7697,es,Colombia
1247274714093019137,#PedsICU #COVID19 collaboration!,brownam130,Mon Apr 06 21:27:19 +0000 2020,0,0,1736,880,en,United States
1247274739661496321,"Leo “#MiOrgulloEsUribe” y en definitiva, el COVID-19 debería acabar con todo este platanal.",Mellamantommy,Mon Apr 06 21:27:25 +0000 2020,0,0,193,324,es,Colombia
1247274747832012801,"Kissinger says ‘even US’ can’t defeat Covid-19 alone. His solution? Global NWO government, of course https://t.co/7KQzBZJy5F",ramizf,Mon Apr 06 21:27:27 +0000 2020,0,0,2086,714,en,Hashemite Kingdom of Jordan
1247274885891702786,"@GovAndyBeshear says Kentucky has 54 new cases of #COVID19. The state now has 1,008 #Coronavirus cases.",OnAirWithRick,Mon Apr 06 21:28:00 +0000 2020,0,0,1675,26123,en,United States
1247274903033831426,"Con una inversión de USD 250 millones, Glaxo se sumó a la carrera para encontrar una vacuna contra el coronavirus  https://t.co/a72S53CBkL",almarante,Mon Apr 06 21:28:04 +0000 2020,0,0,314,176,es,Argentina
1247274986626260995,"COVID-19 update. Open by appointment only. Hours of appointment availability M-F 8AM-6PM, Sat. 9AM-3PM. Thank you f… https://t.co/rNWEn955ey",HighTechTrans1,Mon Apr 06 21:28:24 +0000 2020,0,0,114,4,en,United States
1247275002896023555,Nuestras compañeras siguen enfrentando al #coronavirus con solidaridad y entrega. Pero necesitan de sus ingresos pa… https://t.co/3g9IhizpF2,barriosdepietuc,Mon Apr 06 21:28:28 +0000 2020,0,0,260,1125,es,Argentina
1247275019601756160,#Unemployment #NewJersey #Programming Coronavirus pandemic exposes urgent need for programmers of a very old comput… https://t.co/XH2JKaFuQh,Principal_IT,Mon Apr 06 21:28:32 +0000 2020,0,0,1608,622,en,United States
1247275065961521154,.@markpoloncarz reports #ErieCounty's 30th #Coronavirus related death. Poloncarz now reporting a revised total of 1… https://t.co/nHUAwVXnL9,CaseyJBortnick,Mon Apr 06 21:28:43 +0000 2020,0,0,3611,3225,en,United States
