id,text,screen_name,created_at,retweet_count,favorite_count,friends_count,followers_count,lang,country
1247695143777550336,"Mi amor en tiempos de COVID-19... entre llamadas  msj, video llamadas y fotos... https://t.co/ZvlUbyC4mu",nyna_glezz,Wed Apr 08 01:17:57 +0000 2020,0,0,408,4163,es,México
1247695184655257601,Business leaders come together to support African-Americans in North Minneapolis during #COVID19 pandemic. @saoic p… https://t.co/uza8aCJTwW,AngelaDavisMPR,Wed Apr 08 01:18:07 +0000 2020,0,0,2808,12078,en,United States
1247695201562476544,"""¿Que miras?"" (Actitud de cuarentena) . . . #felamanuela #sataloca #adopta  #cuarentena #quarantine #coronavirusPR… https://t.co/Sl6KfeWJCb",photoxabo,Wed Apr 08 01:18:11 +0000 2020,0,0,2253,2334,es,United States
1247695218989817856,"The U.S. gets a D- in the coronavirus fight. That stands for ‘disorganization,’ and it’s fixable https://t.co/PxL6zwEP61 via @statnews",WillRodgersJr,Wed Apr 08 01:18:15 +0000 2020,0,0,4435,1135,en,United States
1247695226271076353,Logged in today to see that automatic COVID-19 forbearances were applied to both student loan accounts for me &amp; my… https://t.co/2OADCmHFNn,BrianStewartOH,Wed Apr 08 01:18:17 +0000 2020,0,0,1859,1691,en,United States
1247695227088973825,.@IvanDuque: Congelen YA el cobro de servicios públicos para estratos 3 y 4 por crisis por #coronavirus.… https://t.co/22JVpDNZzT,MarlenarzuagaM,Wed Apr 08 01:18:17 +0000 2020,0,0,516,558,es,Colombia
1247695268491001859,My granddaughter having a break down today! Not worried about #COVID19 she has more pertinent problems #whatshewant https://t.co/40NIAINF9K,JackieWJonesJr,Wed Apr 08 01:18:27 +0000 2020,0,0,788,236,en,United States
1247695281627336705,#tRump can not even treat his own #clap much less #Covid-19.,DaveDonnaWoodWk,Wed Apr 08 01:18:30 +0000 2020,0,0,4217,3315,en,United States
1247695306004803589,Great to see my old school @kinghamhillsch doing its part in our fight against Covid19. Well done Dug. #covid19… https://t.co/Co99UI7soj,SholtoRoyle,Wed Apr 08 01:18:36 +0000 2020,0,0,319,184,en,United Kingdom
1247695306160029696,Attention to all Nigerians!!!  #COVID19,SA_collapsing,Wed Apr 08 01:18:36 +0000 2020,0,0,331,958,en,South Africa
