id,text,screen_name,created_at,retweet_count,favorite_count,friends_count,followers_count,lang,country
1248306005508677632,#COVID19 has us living one day at a time... #undiaalavez @tigresdelnorte,VictorRTafoya,Thu Apr 09 17:45:18 +0000 2020,0,0,7524,2320,en,United States
1248313332660133891,"Pres Cyril Ramaphosa to SAns: ""You have respected the lockdown and largely observed its regulations."" #lockdown #coronavirus",ManqobaMchunu,Thu Apr 09 18:14:25 +0000 2020,0,0,920,20964,en,South Africa
1248313382484226049,TRAVEL FROM THE SOFA 🤗 @chm_itu #cevherhazırlamamuhendisliği #COVID19 #EvdeKal #HayatEverSığar #EvdeHayatVar,chm_itu,Thu Apr 09 18:14:37 +0000 2020,0,0,1471,1028,en,Turkey
